2020-09-01 16:00:15.452 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1f949ab9, org.springframework.security.web.context.SecurityContextPersistenceFilter@3a4e524, org.springframework.security.web.header.HeaderWriterFilter@5f6494c0, org.springframework.security.web.authentication.logout.LogoutFilter@221ca495, org.lsy.learn.security.auth.filter.JwtTokenAuthenticationFilter@2efd2f21, org.lsy.learn.security.auth.filter.JwtUserAuthenticationFilter@6f1c3f18, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2dac2e1b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@50f4b83d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3a209918, org.springframework.security.web.session.SessionManagementFilter@4df7d9ee, org.springframework.security.web.access.ExceptionTranslationFilter@5dcf0772, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1815577b]
2020-09-01 16:00:15.517 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-01 16:00:15.761 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8050"]
2020-09-01 16:00:15.778 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8050 (http) with context path '/learn'
2020-09-01 16:00:15.786 [main] INFO  org.lsy.learn.security.SecurityApplication - Started SecurityApplication in 3.528 seconds (JVM running for 4.44)
2020-09-01 16:00:48.564 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-01 16:00:50.974 [main] INFO  org.lsy.learn.security.SecurityApplication - Starting SecurityApplication on DESKTOP-VI286HH with PID 21404 (D:\learnProject\security\build\classes\java\main started by 18692 in D:\learnProject\security)
2020-09-01 16:00:50.976 [main] INFO  org.lsy.learn.security.SecurityApplication - No active profile set, falling back to default profiles: default
2020-09-01 16:00:51.525 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-01 16:00:51.527 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-01 16:00:51.561 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22ms. Found 0 Redis repository interfaces.
